,Year,Month,Day,Hour,C6,CO,NO,NO2,NOX,O3,PM10,PM25,RF,RH,RT,SO2,SR,TOL,WD,WS,XYL,period
0,2016,1,1,0,0.46,1.51,20.11,68.99,89.1,10.87,112.21,75.25,0,58.18,17.72,40.58,0.11,3.23,16.39,0.41,2.35,2016-01-01 00:00:00
1,2016,1,1,1,0.27,1.22,20.5,68.79,89.29,11.08,119.91,101.77,0,61.08,16.91,40.46,0.02,2.18,16.33,0.53,1.53,2016-01-01 01:00:00
2,2016,1,1,2,0.14,1.05,20.89,66.25,87.13,11.29,103.12,83.33,0,62.52,16.43,38.97,0.01,1.65,16.3,0.45,1.08,2016-01-01 02:00:00
3,2016,1,1,3,0.17,0.98,21.09,66.43,87.51,11.4,92.37,61.98,0,64.72,15.66,39.07,0.0,1.3,16.25,0.29,0.76,2016-01-01 03:00:00
4,2016,1,1,4,0.12,0.93,21.21,67.4,88.61,11.47,86.86,69.2,0,68.06,14.93,39.65,0.0,1.15,16.23,0.28,0.6,2016-01-01 04:00:00
5,2016,1,1,5,0.13,0.94,21.19,66.69,87.88,11.46,71.09,51.43,0,70.1,14.59,39.23,0.0,1.19,16.21,0.28,0.57,2016-01-01 05:00:00
6,2016,1,1,6,0.13,1.04,21.31,66.04,87.36,11.52,71.31,54.81,0,71.38,14.29,38.85,0.01,1.05,16.26,0.28,0.47,2016-01-01 06:00:00
7,2016,1,1,7,0.29,1.4,21.75,66.53,88.28,11.76,86.91,64.5,0,71.77,14.51,39.14,11.13,1.25,16.29,0.29,0.54,2016-01-01 07:00:00
8,2016,1,1,8,0.62,1.82,21.51,67.06,88.57,11.63,130.58,103.4,0,66.94,17.18,39.44,103.0,1.92,16.43,0.3,0.82,2016-01-01 08:00:00
9,2016,1,1,9,0.49,2.49,21.85,66.81,88.66,11.81,177.1,145.7,0,45.23,24.01,39.3,214.5,2.59,16.86,0.39,1.19,2016-01-01 09:00:00
10,2016,1,1,10,0.87,2.19,21.54,66.66,88.2,11.65,236.35,196.2,0,28.84,27.22,39.21,338.84,3.41,17.03,0.75,1.68,2016-01-01 10:00:00
11,2016,1,1,11,0.64,1.98,21.53,66.45,87.98,11.64,203.93,146.2,0,24.11,31.06,39.09,416.12,3.17,17.57,0.73,1.61,2016-01-01 11:00:00
12,2016,1,1,12,0.45,1.96,22.29,64.98,87.27,12.05,187.55,133.45,0,20.03,33.6,38.22,443.98,2.73,17.39,0.89,1.28,2016-01-01 12:00:00
13,2016,1,1,13,0.31,1.38,21.76,65.93,87.69,11.76,154.53,108.35,0,15.75,34.78,38.78,437.11,2.83,17.57,1.26,1.39,2016-01-01 13:00:00
14,2016,1,1,14,0.22,1.21,21.42,66.35,87.77,11.58,95.82,61.45,0,10.01,36.17,39.03,396.91,2.33,17.64,1.15,1.2,2016-01-01 14:00:00
15,2016,1,1,15,0.13,1.14,22.05,68.52,90.57,11.92,62.64,40.4,0,8.81,36.75,40.31,306.01,1.91,17.71,0.83,0.94,2016-01-01 15:00:00
16,2016,1,1,16,0.14,0.97,21.92,67.89,89.81,11.85,47.23,13.35,0,10.9,35.04,39.93,185.88,1.7,17.56,0.44,0.85,2016-01-01 16:00:00
17,2016,1,1,17,0.17,3.43,21.4,70.67,92.07,11.57,48.31,33.65,0,20.81,30.47,41.57,43.75,2.01,17.18,0.48,0.87,2016-01-01 17:00:00
18,2016,1,1,18,1.23,6.48,20.49,89.26,109.75,11.08,113.6,82.2,0,36.98,24.63,52.5,2.51,9.03,16.78,0.28,5.3,2016-01-01 18:00:00
19,2016,1,1,19,2.37,11.07,21.14,97.2,118.34,11.43,175.87,154.6,0,45.79,22.3,57.18,0.07,15.8,16.63,0.28,8.91,2016-01-01 19:00:00
20,2016,1,1,20,3.1,12.35,20.71,87.89,108.6,11.19,223.27,200.0,0,51.72,20.83,51.7,0.1,23.11,16.52,0.28,12.91,2016-01-01 20:00:00
21,2016,1,1,21,3.2,5.39,21.62,65.15,86.77,11.69,265.79,240.0,0,46.4,20.78,38.32,0.09,22.48,16.59,0.72,13.32,2016-01-01 21:00:00
22,2016,1,1,22,1.1,2.05,22.4,65.82,88.22,12.11,178.58,173.75,0,48.61,19.75,38.72,0.05,7.74,16.61,0.59,5.63,2016-01-01 22:00:00
23,2016,1,1,23,0.49,1.63,21.31,64.09,85.4,11.52,114.27,102.29,0,53.71,18.62,37.7,0.09,4.38,16.27,0.63,2.78,2016-01-01 23:00:00
24,2016,1,2,0,0.23,1.09,21.35,33.4,54.76,11.55,86.78,75.85,0,53.82,18.56,19.65,0.1,2.65,16.37,0.78,1.64,2016-01-02 00:00:00
25,2016,1,2,1,0.13,0.9,21.34,58.17,79.51,11.54,58.98,47.48,0,58.14,17.63,34.22,0.1,1.98,16.48,0.87,1.12,2016-01-02 01:00:00
26,2016,1,2,2,0.06,0.76,21.0,60.33,81.33,11.35,58.97,42.15,0,59.24,17.09,35.49,0.05,1.01,16.38,0.83,0.61,2016-01-02 02:00:00
