,Year,Month,Day,Hour,C6,CO,NO,NO2,NOX,O3,PM10,PM25,RF,RH,RT,SO2,SR,TOL,WD,WS,XYL,period
0,2016,3,1,0,0.76,3.3,21.6,38.73,60.33,11.68,99.98,120.64,0,55.03,24.23,22.78,0.07,5.39,16.78,0.29,2.97,2016-03-01 00:00:00
1,2016,3,1,1,0.61,2.79,21.39,35.46,56.85,11.56,125.87,130.39,0,55.79,24.28,20.86,0.08,4.69,16.73,0.31,2.65,2016-03-01 01:00:00
2,2016,3,1,2,0.51,2.44,21.14,34.94,56.07,11.42,102.87,100.49,0,58.49,24.06,20.55,0.06,4.38,16.79,0.35,2.08,2016-03-01 02:00:00
3,2016,3,1,3,0.36,1.85,21.79,36.33,58.12,11.78,90.37,94.15,0,61.3,23.57,21.37,0.01,3.37,16.78,0.38,1.56,2016-03-01 03:00:00
4,2016,3,1,4,0.24,1.76,22.85,35.35,58.21,12.35,78.83,83.83,0,55.91,23.68,20.8,0.07,2.43,16.73,0.28,0.99,2016-03-01 04:00:00
5,2016,3,1,5,0.25,1.99,21.67,36.08,57.74,11.71,76.15,82.85,0,59.19,22.99,21.22,0.02,2.4,16.69,0.28,0.92,2016-03-01 05:00:00
6,2016,3,1,6,0.37,2.44,21.58,35.34,56.92,11.67,92.11,97.41,0,61.06,22.82,20.79,0.01,2.65,16.63,0.32,1.11,2016-03-01 06:00:00
7,2016,3,1,7,0.5,2.62,21.4,36.5,57.9,11.57,121.28,110.17,0,58.97,23.47,21.47,15.85,2.66,16.59,0.69,1.14,2016-03-01 07:00:00
8,2016,3,1,8,0.4,2.37,19.88,36.72,56.6,10.74,112.42,119.63,0,52.44,25.94,21.61,109.54,2.24,16.99,0.68,1.04,2016-03-01 08:00:00
9,2016,3,1,9,0.47,2.48,21.21,35.38,56.59,11.46,122.72,129.48,0,44.97,29.06,20.81,250.74,2.6,17.07,1.38,1.29,2016-03-01 09:00:00
10,2016,3,1,10,0.32,2.37,21.59,35.45,57.04,11.67,137.72,125.07,0,40.51,31.45,20.85,371.29,2.33,17.26,1.45,1.19,2016-03-01 10:00:00
11,2016,3,1,11,0.37,2.24,22.12,36.27,58.4,11.96,104.39,79.93,0,34.35,34.34,21.34,480.37,2.87,17.6,1.34,1.45,2016-03-01 11:00:00
12,2016,3,1,12,0.23,2.1,26.83,35.95,62.78,14.5,95.46,64.37,0,30.18,35.94,21.15,542.94,2.22,17.88,1.91,1.05,2016-03-01 12:00:00
13,2016,3,1,13,0.26,2.11,27.3,36.17,63.47,14.76,113.65,63.0,0,30.17,35.96,21.27,512.41,2.58,17.72,2.12,1.16,2016-03-01 13:00:00
14,2016,3,1,14,0.21,2.04,26.32,39.02,65.33,14.23,119.54,59.61,0,30.52,35.58,22.95,237.96,2.37,17.71,1.84,1.06,2016-03-01 14:00:00
15,2016,3,1,15,0.25,2.63,25.51,38.75,64.26,13.79,105.59,53.07,0,39.91,31.15,22.79,40.47,2.66,17.32,1.29,1.18,2016-03-01 15:00:00
16,2016,3,1,16,0.3,1.84,24.51,38.44,62.96,13.25,114.02,80.82,0,37.13,32.57,22.61,162.76,3.65,17.1,1.18,1.68,2016-03-01 16:00:00
17,2016,3,1,17,0.12,1.73,24.07,38.79,62.86,13.01,138.04,76.68,0,40.66,29.36,22.82,36.9,1.69,17.0,1.54,0.84,2016-03-01 17:00:00
18,2016,3,1,18,0.16,1.72,23.57,35.18,58.75,12.74,129.28,69.07,0,40.63,28.18,20.69,15.37,1.85,17.07,1.24,1.34,2016-03-01 18:00:00
19,2016,3,1,19,0.14,1.65,22.63,36.19,58.83,12.23,126.15,49.35,0,47.16,26.41,21.29,0.24,1.83,16.88,1.47,1.21,2016-03-01 19:00:00
20,2016,3,1,20,0.16,1.5,22.47,38.28,60.75,12.15,93.78,62.95,0,45.16,25.66,22.52,0.03,2.0,16.92,1.35,1.22,2016-03-01 20:00:00
21,2016,3,1,21,0.15,1.54,23.9,38.47,62.37,12.92,60.87,50.74,0,47.26,25.16,22.63,0.05,1.89,16.84,0.61,0.96,2016-03-01 21:00:00
22,2016,3,1,22,0.13,1.67,25.68,38.71,64.39,13.88,61.94,29.33,0,53.61,24.23,22.77,0.03,1.75,16.78,0.36,0.82,2016-03-01 22:00:00
23,2016,3,1,23,0.29,2.05,21.85,38.21,60.05,11.81,79.11,45.49,0,56.99,23.58,22.47,0.12,2.52,16.71,0.31,1.1,2016-03-01 23:00:00
24,2016,3,2,0,0.29,1.94,21.24,38.77,60.01,11.48,73.51,60.88,0,57.96,23.24,22.8,0.13,2.61,16.69,0.33,1.28,2016-03-02 00:00:00
25,2016,3,2,1,0.27,1.63,21.5,38.28,59.77,11.62,83.86,83.51,0,56.1,22.99,22.51,0.1,2.49,16.6,0.38,1.21,2016-03-02 01:00:00
26,2016,3,2,2,0.2,1.16,22.07,38.46,60.53,11.93,74.98,83.58,0,63.43,22.09,22.63,0.06,1.92,16.68,0.43,0.83,2016-03-02 02:00:00
27,2016,3,2,3,0.09,0.97,22.57,38.76,61.32,12.2,59.43,59.92,0,67.63,21.16,22.8,0.04,1.08,16.58,0.36,0.36,2016-03-02 03:00:00
28,2016,3,2,4,0.07,1.03,23.17,38.27,61.44,12.53,44.28,47.45,0,68.9,20.81,22.51,0.02,0.85,16.62,0.34,0.25,2016-03-02 04:00:00
29,2016,3,2,5,0.08,1.15,24.25,38.47,62.72,13.11,44.54,57.97,0,66.71,20.96,22.63,0.07,0.85,16.62,0.37,0.24,2016-03-02 05:00:00
30,2016,3,2,6,0.08,1.25,24.24,38.3,62.54,13.1,70.44,71.02,0,58.81,21.36,22.53,0.13,0.87,16.56,0.37,0.23,2016-03-02 06:00:00
31,2016,3,2,7,0.17,2.39,23.67,38.97,62.64,12.8,95.35,72.15,0,58.71,21.79,22.92,19.01,1.03,16.64,0.28,0.3,2016-03-02 07:00:00
